Sum of normalized_frequency	Column Labels					
Row Labels	Art	Education Economics	History	Religion	War	Grand Total
1974	0.395173105	0.179273653	0.921428021	0.092528337	0.965764515	2.554167631
1975	0.625500889	0.183740886	1.102445318	0.07232354	1.135675052	3.119685686
1976	0.580927521	0.16485781	0.755598296	0.088316684	0.812513493	2.402213805
1977	0.591558909	0.183914148	0.747032725	0.091009063	0.792537257	2.406052103
1978	0.610353402	0.152588351	0.666867606	0.096074147	0.730917037	2.256800543
1979	0.53948832	0.183537264	0.743418613	0.135335558	0.797182054	2.398961809
1980	0.560846561	0.139329806	0.728395062	0.104056437	0.798941799	2.331569665
1981	0.419031929	0.179073474	0.693014344	0.13609584	0.746736386	2.173951972
1982	0.47223467	0.194753714	0.699734583	0.117196925	0.765226983	2.249146875
1983	0.530654474	0.17187865	0.857724527	0.133497981	0.912792444	2.606548076
1984	0.530376855	0.158154544	0.992060322	0.138984296	1.033595859	2.853171877
1985	0.55615823	0.172653516	1.058839707	0.117648856	1.11231646	3.01761677
1986	0.544633553	0.147273359	0.651615144	0.109760333	0.703021883	2.156304272
1987	0.552417345	0.152295509	0.546879327	0.117682893	0.624411586	1.993686659
1988	0.504087375	0.172029819	0.601437583	0.122687933	0.709456306	2.109699014
1989	0.517665329	0.159182089	0.757085544	0.113886372	0.843794487	2.391613822
1990	0.547760663	0.189365055	0.819734635	0.137257892	0.882009049	2.576127294
1991	0.622348668	0.166383011	0.736657607	0.138440826	0.82429446	2.488124571
1992	0.637404903	0.157234606	0.720860194	0.133044667	0.764402085	2.412946456
1993	0.646086757	0.166398898	0.831994492	0.157218269	0.903144365	2.704842782
1994	0.694398003	0.157159099	1.166989902	0.146013063	1.256158185	3.420718251
1995	0.680721697	0.166325204	1.614786421	0.17073117	1.689687837	4.32225233
1996	0.606823296	0.190898717	0.85211215	0.167436305	0.9299647	2.747235168
1997	0.713733972	0.210103507	0.851743138	0.142128843	0.941346104	2.859055564
1998	0.664658011	0.206204142	0.796788821	0.180178377	0.959950351	2.807779702
1999	0.701890411	0.192815825	0.836555432	0.187714877	0.933473439	2.852449985
2000	0.691384736	0.181943352	0.893981117	0.19472856	0.996262785	2.958300551
2001	0.641612224	0.1713094	0.861867166	0.180885702	0.956566151	2.812240642
2002	0.646802736	0.203539323	0.831118901	0.228416351	0.93515011	2.845027421
2003	0.751652182	0.171875378	0.893267811	0.233605268	1.039724999	3.090125638
2004	0.688141902	0.176917951	1.205109942	0.225168302	1.391218436	3.686556533
2005	0.752605621	0.174483529	1.423785595	0.266378187	1.575004653	4.192257584
2006	0.718950403	0.151791493	1.014296641	0.296522916	1.177854916	3.359416368
2007	0.637860082	0.163526099	0.965995235	0.228503357	1.126272471	3.122157245
2008	0.539808253	0.177157149	0.870154231	0.234472697	1.129637349	2.951229679
2009	0.562884785	0.2176781	0.937774846	0.201187335	1.091688654	3.01121372
2010	0.521848339	0.17539301	1.033952622	0.22736131	1.243991165	3.202546447
2011	0.49823208	0.194012031	1.028608165	0.238784038	1.18473619	3.144372503
2012	0.475134621	0.19457894	1.06565908	0.21381058	1.237612562	3.186795783
2013	0.525712334	0.182962529	0.989217408	0.208577283	1.330747463	3.237217018
2014	0.289467825	0.190279549	1.040464768	0.176109795	1.963523006	3.659844942
2015	0.138792505	0.208188758	0.27758501	0.208188758	0.27758501	1.110340042
Grand Total	1072.475711	79.68026952	156.4053341	86.19884215	149.0819965	1543.842153
